size,tile,cpu_ms,gpu_shared_kernel_ms,gpu_shared_total_ms,gpu_global_kernel_ms,gpu_global_total_ms,speedup_shared_kernel,speedup_global_kernel,max_abs_error_shared,max_abs_error_global
128,8,0.864300,0.173056,84.084396,0.028672,0.423000,4.994337,30.144391,0.000003,0.000003
128,16,0.864300,1.366016,1.879200,0.035840,0.433400,0.632716,24.115513,0.000003,0.000003
128,32,0.864300,0.041984,0.590300,0.015360,0.421800,20.586414,56.269533,0.000003,0.000003
256,8,9.671500,0.113376,0.815600,0.119200,0.575600,85.304651,81.136746,0.000006,0.000006
256,16,9.671500,0.056768,0.511300,0.050880,0.446300,170.368869,190.084513,0.000006,0.000006
256,32,9.671500,0.049504,0.460700,0.049152,0.443200,195.368048,196.767164,0.000006,0.000006
512,8,206.318600,0.217792,1.363700,0.144576,1.214800,947.319442,1427.059834,0.000011,0.000011
512,16,206.318600,0.206784,1.434800,0.189152,1.069800,997.749366,1090.755569,0.000011,0.000011
512,32,206.318600,0.151040,0.934100,0.133408,0.919900,1365.986469,1546.523504,0.000011,0.000011
1024,8,2417.670700,0.996736,3.019000,0.852896,2.527200,2425.587843,2834.660698,0.000021,0.000021
1024,16,2417.670700,0.782752,2.446400,0.692224,2.219800,3088.680412,3492.613099,0.000021,0.000021
1024,32,2417.670700,0.800992,2.511600,0.697408,2.232500,3018.345581,3466.651700,0.000021,0.000021
1536,8,6680.952700,33.193375,36.808998,28.162304,31.682100,201.273681,237.230332,0.000027,0.000027
1536,16,6680.952700,25.531296,29.009300,23.749472,27.213301,261.676993,281.309530,0.000027,0.000027
1536,32,6680.952700,18.921120,22.331499,14.766848,18.279699,353.094997,452.429176,0.000027,0.000027
2048,8,NA,47.032192,52.524700,43.325729,49.012001,NA,NA,NA,NA
2048,16,NA,37.363007,43.410999,5.226304,11.417000,NA,NA,NA,NA
2048,32,NA,7.232096,12.857200,5.366656,11.118500,NA,NA,NA,NA
4096,8,NA,58.241375,78.311600,52.629887,73.324997,NA,NA,NA,NA
4096,16,NA,44.739902,64.078499,39.813854,59.113899,NA,NA,NA,NA
4096,32,NA,47.216450,67.301201,44.256927,63.959499,NA,NA,NA,NA
8192,8,NA,706.966675,780.963318,1576.543579,1649.787720,NA,NA,NA,NA
8192,16,NA,377.687103,450.488190,424.869995,499.132202,NA,NA,NA,NA
8192,32,NA,396.237854,469.386292,357.638824,430.433197,NA,NA,NA,NA
16384,8,NA,6525.301270,6818.846191,12298.082031,12596.782227,NA,NA,NA,NA
16384,16,NA,2940.645996,3242.502441,3411.662842,3715.023926,NA,NA,NA,NA
16384,32,NA,3234.088623,3544.035645,2857.026367,3150.180420,NA,NA,NA,NA
